judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted
Qwen2.5-7B,conf_lp,verbose,0.7,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.71,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.72,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.73,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.74,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.75,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.76,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.77,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.78,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.79,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.8,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.81,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.82,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.83,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.84,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.85,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.86,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.87,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.88,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.89,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.9,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.91,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.92,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524
Qwen2.5-7B,conf_lp,verbose,0.93,1836,1833,3,0.9983660130718954,0.9976525821596244,0.23186033824331698,0.5361447182035621
Qwen2.5-7B,conf_lp,verbose,0.94,1836,1831,5,0.9972766884531591,0.9953051643192489,0.23156744948115784,0.5367317540658243
Qwen2.5-7B,conf_lp,verbose,0.95,1836,1831,5,0.9972766884531591,0.9953051643192489,0.23156744948115784,0.5367317540658243
Qwen2.5-7B,conf_lp,verbose,0.96,1836,1831,5,0.9972766884531591,0.9953051643192489,0.23156744948115784,0.5367317540658243
Qwen2.5-7B,conf_lp,verbose,0.97,1836,1830,6,0.9967320261437909,0.9929577464788732,0.23114754098360657,0.5375458367834138
Qwen2.5-7B,conf_lp,verbose,0.98,1836,1830,6,0.9967320261437909,0.9929577464788732,0.23114754098360657,0.5375458367834138
Qwen2.5-7B,conf_lp,verbose,0.99,1836,1827,9,0.9950980392156863,0.9882629107981221,0.23043240284619596,0.5389524564782296
Qwen2.5-7B,conf_sc,clean,0.5,1836,1778,58,0.9684095860566448,0.9237668161434978,0.23172103487064116,0.5353939475430047
Qwen2.5-7B,conf_sc,clean,0.51,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.52,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.53,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.54,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.55,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.56,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.57,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.58,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.59,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.6,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.61,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
Qwen2.5-7B,conf_sc,clean,0.62,1836,1693,143,0.9221132897603486,0.8228699551569507,0.21677495569994093,0.5639314256197331
